id,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
32,2,1,5,20,0,4,1,1,0.52,0.5,0.4,0.3284,
33,1,1,1,23,0,6,0,1,0.16,0.1515,0.47,0.2239,
34,3,1,8,0,0,4,1,1,0.66,0.6212,0.69,0,
35,3,1,8,17,0,2,1,2,0.78,0.7424,0.62,0.1343,
36,4,0,9,4,0,2,1,3,0.62,0.5455,0.94,0.0896,
37,4,0,11,19,0,3,1,1,0.38,0.3939,0.58,0.3881,
38,2,1,5,21,0,2,1,3,0.64,0.6061,0.73,0.2836,
39,3,1,8,21,0,3,1,1,0.7,0.6515,0.61,0.194,
40,3,1,9,18,0,6,0,2,0.64,0.6212,0.36,0.2836,
41,3,0,9,10,0,3,1,1,0.7,0.6515,0.7,0.1343,
42,3,0,7,22,0,6,0,1,0.72,0.6667,0.51,0.1642,
43,1,0,12,4,0,2,1,2,0.3,0.2879,0.65,0.2239,
44,3,1,7,8,0,2,1,1,0.72,0.697,0.74,0.1343,
45,2,1,4,20,0,0,0,1,0.56,0.5303,0.32,0.0896,
46,4,0,9,11,0,4,1,1,0.62,0.6061,0.61,0.194,
47,2,0,4,9,0,5,1,3,0.34,0.303,0.61,0.2985,
48,1,0,2,23,0,0,0,1,0.24,0.2879,0.65,0,
49,3,0,7,6,0,4,1,2,0.64,0.5758,0.89,0.1343,
50,3,1,9,21,0,2,1,1,0.56,0.5303,0.6,0.1045,
51,1,1,2,17,0,3,1,1,0.52,0.5,0.32,0.3881,
52,3,1,8,14,0,6,0,1,0.76,0.6667,0.37,0.2836,
53,1,1,1,20,0,1,1,1,0.3,0.303,0.39,0.1642,
54,2,1,4,14,0,2,1,1,0.64,0.6212,0.27,0.2836,
55,4,1,11,23,0,5,1,1,0.32,0.3333,0.81,0.0896,
56,4,1,10,9,0,2,1,3,0.58,0.5455,0.88,0.1343,
57,3,0,9,12,0,5,1,1,0.64,0.5606,0.94,0,
58,2,1,5,6,0,2,1,3,0.56,0.5303,0.88,0.1045,
59,3,0,7,20,0,1,1,1,0.72,0.697,0.74,0.4179,
60,1,1,1,15,0,3,1,2,0.34,0.3485,0.87,0.0896,
61,2,1,3,0,0,6,0,1,0.58,0.5455,0.68,0,
62,3,0,8,9,0,2,1,1,0.68,0.6364,0.61,0.2836,
63,1,1,3,14,0,3,1,1,0.52,0.5,0.36,0.3284,
64,2,0,6,8,0,1,1,1,0.64,0.6061,0.73,0.0896,
65,4,0,11,19,0,4,1,1,0.3,0.2879,0.45,0.2239,
66,3,0,9,0,0,3,1,1,0.54,0.5152,1,0,
67,3,0,6,23,0,4,1,1,0.7,0.6667,0.74,0.2836,
68,2,0,4,12,0,2,1,1,0.7,0.6515,0.61,0.4179,
69,2,0,5,15,0,5,1,1,0.78,0.7121,0.49,0.2836,
70,3,1,7,22,0,2,1,1,0.68,0.6364,0.79,0.194,
71,2,0,5,10,0,1,1,1,0.56,0.5303,0.52,0.194,
72,1,1,1,16,0,1,1,3,0.22,0.2576,0.87,0.0896,
73,1,0,3,18,0,2,1,1,0.32,0.3182,0.39,0.194,
74,4,0,11,12,0,1,1,2,0.5,0.4848,0.77,0.1343,
75,4,0,11,11,0,0,0,1,0.42,0.4242,0.58,0.0896,
76,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,
77,1,1,3,22,0,4,1,1,0.56,0.5303,0.49,0.3284,
78,1,1,3,20,0,6,0,1,0.56,0.5303,0.64,0.194,
79,2,1,6,23,0,0,0,1,0.72,0.6667,0.58,0.1045,
80,4,1,11,17,0,3,1,1,0.4,0.4091,0.4,0.1642,
81,4,1,10,4,0,0,0,2,0.5,0.4848,0.63,0.3582,
82,1,1,1,5,0,3,1,1,0.2,0.2121,0.8,0.1343,
83,3,1,9,23,0,2,1,1,0.54,0.5152,0.68,0.1045,
84,1,0,3,8,0,5,1,1,0.28,0.2727,0.7,0.2537,
85,4,0,11,8,0,3,1,1,0.32,0.3485,0.87,0,
86,2,1,3,23,0,5,1,1,0.6,0.5909,0.69,0.2537,
87,4,1,10,23,0,1,1,3,0.54,0.5152,0.77,0,
88,3,1,9,14,0,5,1,1,0.7,0.6515,0.54,0.2985,
89,2,1,5,7,0,3,1,1,0.56,0.5303,0.83,0,
90,3,0,7,9,0,0,0,1,0.74,0.697,0.66,0.0896,
91,1,0,12,1,0,0,0,1,0.22,0.2273,0.69,0.1343,
92,2,0,3,13,0,2,1,1,0.34,0.303,0.25,0.2985,
93,1,1,1,17,0,6,0,1,0.42,0.4242,0.44,0.3881,
94,3,1,8,2,0,6,0,1,0.72,0.7121,0.84,0.1343,
95,1,0,3,9,0,6,0,1,0.42,0.4242,0.44,0.4627,
96,1,0,12,16,0,4,1,1,0.3,0.303,0.52,0.1642,
97,3,0,7,9,0,3,1,1,0.82,0.7424,0.41,0.194,
98,1,1,1,6,0,0,0,2,0.16,0.1515,0.74,0.2239,
99,1,1,1,18,0,6,0,1,0.22,0.2273,0.41,0.194,
100,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,
101,1,1,1,9,0,3,1,1,0.04,0.0606,0.45,0.1343,
102,2,1,5,14,0,6,0,1,0.66,0.6212,0.36,0.194,
103,1,0,12,23,0,5,1,2,0.36,0.3333,0.66,0.2537,
104,4,0,10,12,0,0,0,2,0.4,0.4091,0.62,0.194,
105,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,
106,1,1,2,7,0,4,1,1,0.2,0.197,0.69,0.2537,
107,1,0,1,18,0,6,0,1,0.22,0.2273,0.69,0.1343,
108,2,1,5,16,0,4,1,1,0.74,0.6818,0.55,0.3582,
109,2,0,5,23,0,2,1,2,0.56,0.5303,0.68,0.3284,
110,3,0,6,14,0,3,1,2,0.82,0.7727,0.52,0.2836,
111,1,0,2,22,0,3,1,1,0.22,0.2121,0.44,0.2537,
112,2,1,5,1,0,5,1,1,0.62,0.5758,0.83,0.0896,
113,3,1,9,4,0,2,1,1,0.48,0.4697,0.72,0.1045,
114,2,1,4,1,0,2,1,1,0.42,0.4242,0.5,0.2239,
115,4,0,12,10,0,2,1,3,0.46,0.4545,0.94,0.2836,
116,2,0,4,9,0,6,0,3,0.4,0.4091,1,0.2985,
117,3,0,7,14,0,6,0,1,0.84,0.7121,0.2,0,
118,4,0,9,21,0,0,0,1,0.62,0.5455,0.94,0.0896,
119,2,1,5,7,0,4,1,1,0.6,0.6061,0.64,0.2836,
120,2,1,5,22,0,3,1,3,0.48,0.4697,0.82,0.1045,
121,4,0,11,18,0,5,1,1,0.46,0.4545,0.44,0.0896,
122,3,0,9,23,0,5,1,1,0.5,0.4848,0.59,0,
123,3,1,9,0,0,4,1,2,0.7,0.6667,0.84,0.0896,
124,3,0,6,18,0,6,0,1,0.72,0.6515,0.45,0.2537,
125,3,1,9,3,0,4,1,1,0.52,0.5,0.83,0,
126,2,1,3,7,0,2,1,1,0.22,0.2273,0.37,0.194,
127,3,1,8,17,0,4,1,1,0.82,0.7727,0.52,0.2537,
128,1,1,1,16,0,4,1,2,0.4,0.4091,0.71,0.0896,
129,1,1,3,19,0,5,1,3,0.36,0.3485,0.87,0.194,
130,2,1,6,1,0,5,1,1,0.58,0.5455,0.78,0.194,
131,2,0,6,6,0,5,1,1,0.54,0.5152,0.45,0.2985,
132,2,0,4,11,0,2,1,1,0.68,0.6364,0.65,0.3881,
133,2,0,4,15,0,6,0,1,0.6,0.5909,0.73,0.3881,
134,4,1,11,18,0,2,1,1,0.34,0.3182,0.49,0.2836,
135,2,0,4,11,0,1,1,1,0.6,0.6212,0.4,0.3881,
136,1,1,2,3,0,3,1,1,0.44,0.4394,0.44,0.194,
137,3,1,9,4,0,4,1,2,0.7,0.6667,0.84,0.0896,
138,1,1,12,23,0,0,0,1,0.2,0.197,0.51,0.2239,
139,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,
140,3,0,6,3,0,4,1,1,0.6,0.6061,0.6,0.1642,
141,2,1,4,18,0,0,0,1,0.52,0.5,0.52,0.2985,
142,1,1,1,20,0,3,1,3,0.32,0.3182,0.93,0.1642,
143,4,0,10,16,0,1,1,1,0.58,0.5455,0.56,0.2537,
144,3,0,9,11,0,2,1,1,0.7,0.6515,0.61,0.1642,
145,4,1,10,23,0,0,0,1,0.36,0.3485,0.93,0.1343,
146,2,0,4,17,0,0,0,1,0.56,0.5303,0.3,0.4478,
147,4,0,11,5,0,3,1,3,0.46,0.4545,0.94,0.1045,
148,3,0,8,12,0,1,1,1,0.82,0.7576,0.46,0.2537,
149,4,0,12,1,0,6,0,2,0.26,0.2576,0.7,0.1642,
150,2,1,6,6,0,3,1,1,0.48,0.4697,0.77,0,
151,2,1,5,13,0,5,1,1,0.74,0.6818,0.62,0.1343,
152,1,1,1,21,0,5,1,1,0.24,0.2121,0.41,0.2836,
153,2,1,5,23,0,1,1,2,0.58,0.5455,0.78,0.1045,
154,1,0,3,5,0,4,1,3,0.36,0.3485,0,0.194,
155,2,1,5,16,0,2,1,1,0.82,0.7727,0.49,0.4925,
156,3,1,6,16,0,3,1,1,0.82,0.697,0.24,0.4478,
157,2,1,4,12,0,0,0,1,0.64,0.6212,0.44,0.2836,
158,2,1,6,22,0,3,1,1,0.62,0.6212,0.5,0.2985,
159,4,1,9,15,0,2,1,1,0.66,0.6212,0.36,0.3284,
160,3,1,8,1,0,6,0,1,0.72,0.7121,0.84,0.194,
161,4,1,12,7,0,1,1,2,0.38,0.3939,0.94,0.2537,
162,3,1,9,13,0,5,1,2,0.7,0.6515,0.54,0.194,
163,1,1,3,3,0,6,0,2,0.44,0.4394,0.88,0,
164,2,0,4,14,0,3,1,1,0.68,0.6364,0.74,0.2836,
165,2,0,5,23,0,6,0,1,0.58,0.5455,0.78,0.0896,
166,1,1,2,5,0,5,1,2,0.28,0.2727,0.93,0.1642,
167,4,1,10,15,0,1,1,1,0.6,0.5758,0.78,0.3284,
168,2,0,5,0,0,0,0,1,0.54,0.5152,0.88,0.1642,
169,2,0,3,13,0,1,1,2,0.3,0.2879,0.24,0.2239,
170,2,0,4,21,0,2,1,1,0.34,0.2879,0.46,0.5224,
171,2,0,6,1,0,5,1,1,0.6,0.6212,0.38,0.3582,
172,3,0,7,17,0,4,1,1,0.84,0.803,0.53,0.194,
173,2,1,5,15,1,1,0,1,0.82,0.7879,0.56,0.2985,
174,2,0,6,8,0,2,1,2,0.68,0.6364,0.61,0.1343,
175,4,0,12,0,0,2,1,1,0.22,0.2727,0.8,0,
176,2,0,5,11,0,0,0,1,0.46,0.4545,0.82,0.1045,
177,2,0,4,20,0,1,1,1,0.66,0.6212,0.61,0.2836,
178,2,1,5,21,0,3,1,1,0.52,0.5,0.77,0.2239,
179,4,1,11,10,0,5,1,2,0.3,0.3333,0.65,0,
180,3,0,7,13,0,6,0,1,0.82,0.7424,0.41,0.2239,
181,3,0,7,8,0,3,1,1,0.8,0.7424,0.49,0.2537,
182,4,0,12,10,0,1,1,2,0.22,0.2424,0.69,0.1045,
183,4,0,9,13,0,1,1,2,0.7,0.6667,0.74,0.1642,
184,2,0,4,8,0,6,0,1,0.3,0.3182,0.7,0.1045,
185,1,1,1,21,0,0,0,1,0.16,0.1667,0.4,0.1642,
186,2,0,6,6,0,0,0,1,0.62,0.5606,0.88,0.1045,
187,1,0,2,10,0,3,1,1,0.2,0.2576,0.4,0,
188,1,0,12,1,0,4,1,1,0.44,0.4394,0.94,0.0896,
189,2,0,5,3,0,2,1,2,0.58,0.5455,0.94,0.1045,
190,1,1,12,17,0,1,1,3,0.24,0.2424,0.93,0.1642,
191,2,1,6,10,0,1,1,1,0.64,0.6212,0.41,0.4627,
192,2,1,5,20,0,6,0,1,0.68,0.6364,0.41,0.0896,
193,3,0,9,6,0,0,0,1,0.64,0.5758,0.84,0.2239,
194,4,1,10,15,0,3,1,1,0.7,0.6364,0.39,0.1045,
195,1,0,2,8,0,3,1,1,0.1,0.1364,0.42,0,
196,1,1,1,17,0,6,0,1,0.24,0.2273,0.41,0.2537,
197,1,1,3,3,0,2,1,3,0.52,0.5,0.72,0.2985,
198,1,1,1,23,0,3,1,2,0.2,0.2273,0.44,0.1045,
199,1,0,2,14,0,0,0,1,0.44,0.4394,0.47,0.0896,
200,2,1,5,19,0,3,1,3,0.5,0.4848,0.77,0.3582,
201,3,1,8,15,0,0,0,1,0.9,0.8182,0.37,0.5224,
202,2,1,3,7,0,4,1,2,0.48,0.4697,1,0.0896,
203,4,1,10,16,0,3,1,1,0.74,0.6515,0.33,0.1343,
204,2,0,5,0,0,0,0,2,0.5,0.4848,0.59,0.1045,
205,2,0,6,20,0,3,1,2,0.74,0.7121,0.79,0.2537,
206,2,0,3,2,0,3,1,2,0.32,0.3485,0.57,0,
207,2,0,4,11,0,3,1,2,0.64,0.5909,0.78,0.2836,
208,4,1,11,21,0,0,0,1,0.44,0.4394,0.67,0.2239,
209,4,1,9,9,0,1,1,1,0.52,0.5,0.52,0.194,
210,2,1,5,16,0,1,1,2,0.6,0.6212,0.53,0.3881,
211,3,0,6,15,0,4,1,2,0.76,0.697,0.52,0.3582,
212,3,0,7,7,0,0,0,1,0.74,0.6818,0.58,0.1343,
213,3,0,6,22,0,2,1,1,0.7,0.6667,0.79,0.1045,
214,2,0,5,2,0,6,0,1,0.42,0.4242,0.82,0.0896,
215,1,0,2,1,0,5,1,1,0.44,0.4394,0.72,0.2239,
216,3,0,9,12,0,0,0,1,0.7,0.6515,0.65,0,
217,3,1,9,8,0,5,1,1,0.54,0.5152,0.73,0.1343,
218,3,0,6,23,0,3,1,2,0.72,0.697,0.79,0.2239,
219,1,1,2,0,0,6,0,1,0.26,0.2727,0.7,0.1045,
220,4,1,12,11,0,6,0,1,0.34,0.3485,0.61,0.0896,
221,1,0,12,5,0,4,1,1,0.38,0.3939,0.82,0,
222,4,1,12,4,0,0,0,2,0.34,0.3636,0.87,0,
223,1,1,2,1,0,3,1,1,0.44,0.4394,0.41,0.2836,
224,3,0,7,20,0,4,1,1,0.8,0.7879,0.63,0.194,
225,4,0,12,12,0,2,1,2,0.44,0.4394,0.54,0.1343,
226,1,1,2,3,0,2,1,2,0.3,0.3333,0.7,0,
227,1,0,1,17,0,3,1,1,0.36,0.3333,0.57,0.3284,
228,1,0,1,21,0,5,1,1,0.08,0.0758,0.38,0.2836,
229,3,1,9,15,0,2,1,3,0.6,0.5455,0.88,0.2537,
230,4,1,12,1,0,1,1,1,0.4,0.4091,0.82,0.1343,
231,1,1,2,8,1,1,0,1,0.2,0.1818,0.59,0.3582,
232,2,0,5,23,0,4,1,2,0.54,0.5152,0.77,0.194,
233,1,1,2,0,0,3,1,1,0.32,0.3485,0.57,0,
234,1,0,3,9,0,3,1,2,0.32,0.3333,0.93,0.1343,
235,4,0,12,6,0,3,1,3,0.48,0.4697,1,0.4179,
236,3,0,7,6,0,0,0,2,0.62,0.5455,0.94,0.0896,
237,1,0,3,14,0,0,0,3,0.44,0.4394,1,0.2239,
238,2,0,4,11,0,6,0,2,0.36,0.3636,0.81,0,
239,1,1,3,6,0,5,1,2,0.4,0.4091,0.87,0.1642,
240,1,1,12,13,0,4,1,1,0.3,0.2727,0.49,0.4627,
241,4,0,10,3,0,5,1,1,0.3,0.2879,0.7,0.2836,
242,3,1,6,23,0,3,1,1,0.68,0.6364,0.47,0.1343,
243,2,0,6,5,0,4,1,1,0.66,0.6212,0.39,0.2239,
244,2,1,4,3,0,2,1,1,0.56,0.5303,0.83,0.0896,
245,4,1,12,4,0,5,1,1,0.2,0.2273,0.75,0.0896,
246,3,0,8,9,0,1,1,1,0.64,0.5909,0.78,0.3284,
247,1,1,2,11,0,5,1,1,0.32,0.303,0.53,0.2985,
248,3,1,7,4,0,3,1,1,0.64,0.5758,0.89,0.1343,
249,1,1,2,0,0,1,1,1,0.26,0.2424,0.6,0.2537,
250,1,1,1,13,0,1,1,1,0.3,0.2879,0.31,0.194,
251,3,1,7,20,0,3,1,1,0.74,0.6818,0.62,0.0896,
252,1,0,1,7,0,6,0,1,0.02,0.0152,0.44,0.2836,
253,4,0,12,0,0,3,1,1,0.44,0.4394,1,0.194,
254,4,0,11,6,0,1,1,2,0.28,0.3182,0.93,0,
255,1,1,2,6,0,3,1,1,0.32,0.3182,0.76,0.1642,
256,3,0,9,3,0,0,0,1,0.44,0.4394,0.82,0.194,
257,4,1,11,2,0,4,1,1,0.32,0.3333,0.66,0.1343,
258,1,1,12,20,0,6,0,1,0.24,0.2424,0.48,0.1642,
259,1,1,2,9,0,4,1,1,0.36,0.3333,0.81,0.2537,
260,3,0,7,22,0,3,1,1,0.68,0.6364,0.83,0.194,
261,2,0,5,8,0,5,1,1,0.66,0.6212,0.74,0.2836,
262,2,0,5,7,0,3,1,1,0.62,0.5909,0.73,0.1343,
263,3,1,7,15,0,4,1,1,0.8,0.7121,0.36,0.194,
264,3,0,7,5,0,3,1,1,0.68,0.6364,0.83,0.0896,
265,4,1,10,7,0,2,1,1,0.38,0.3939,0.83,0.2537,
266,1,1,12,21,0,6,0,1,0.22,0.2121,0.51,0.2836,
267,1,0,2,11,0,0,0,1,0.36,0.3485,0.62,0.1343,
268,1,1,2,16,0,4,1,1,0.46,0.4545,0.55,0.2836,
269,4,0,12,22,0,2,1,1,0.3,0.303,0.52,0.1642,
270,2,0,3,9,0,3,1,2,0.32,0.303,0.81,0.2537,
271,1,0,2,12,0,2,1,1,0.28,0.2727,0.24,0.2537,
272,3,1,7,23,0,1,1,2,0.7,0.6515,0.65,0.1045,
273,2,1,4,12,0,0,0,3,0.38,0.3939,0.87,0.3284,
274,4,1,11,19,0,6,0,1,0.34,0.3485,0.53,0.0896,
275,2,0,6,5,0,3,1,1,0.62,0.5606,0.88,0,
276,1,1,2,2,1,1,0,2,0.24,0.2576,0.87,0.0896,
277,3,1,7,13,0,4,1,1,0.84,0.7727,0.47,0.1343,
278,4,1,11,5,0,3,1,2,0.28,0.2576,0.52,0.3284,
279,2,0,4,2,0,4,1,1,0.36,0.3485,0.76,0.1343,
280,4,1,10,6,0,3,1,1,0.38,0.3939,0.82,0,
281,4,0,11,10,0,5,1,1,0.36,0.3485,0.71,0.1642,
282,1,0,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,
283,4,1,11,16,0,1,1,1,0.42,0.4242,0.58,0.2537,
284,2,0,6,17,0,4,1,1,0.76,0.6515,0.2,0.5224,
285,4,0,11,11,0,3,1,1,0.42,0.4242,0.71,0.1343,
286,3,0,7,7,0,2,1,1,0.7,0.6515,0.65,0.0896,
287,2,0,5,18,0,4,1,1,0.56,0.5303,0.26,0.2836,
288,1,1,3,19,0,1,1,1,0.62,0.6061,0.61,0.2239,
289,1,0,12,21,0,3,1,1,0.22,0.2273,0.44,0.1343,
290,3,1,7,0,0,5,1,1,0.72,0.6818,0.7,0,
291,2,1,6,11,0,2,1,2,0.56,0.5303,0.56,0.194,
292,4,0,10,6,0,2,1,1,0.52,0.5,0.83,0.0896,
293,3,0,8,11,0,6,0,2,0.74,0.697,0.7,0.194,
294,1,1,3,23,0,2,1,1,0.52,0.5,0.83,0,
295,2,1,6,3,0,0,0,1,0.54,0.5152,0.64,0.1045,
296,4,1,12,10,0,2,1,1,0.46,0.4545,0.82,0.194,
297,4,1,12,22,0,2,1,1,0.3,0.2879,0.56,0.2239,
298,2,0,5,14,0,2,1,2,0.7,0.6515,0.58,0.5224,
299,3,1,8,14,0,1,1,1,0.72,0.6667,0.54,0.1642,
300,2,0,5,4,0,4,1,1,0.48,0.4697,0.94,0,
301,1,0,2,18,0,3,1,1,0.4,0.4091,0.4,0.2239,
302,2,0,6,14,0,5,1,1,0.7,0.6364,0.28,0.2836,
303,4,1,11,3,0,5,1,1,0.26,0.303,0.7,0,
304,4,1,11,5,0,1,1,2,0.3,0.2727,0.52,0.3284,
305,4,0,12,3,0,5,1,1,0.46,0.4545,0.82,0.1343,
306,4,0,10,22,0,4,1,1,0.46,0.4545,0.82,0,
307,4,1,12,21,0,4,1,3,0.34,0.3333,0.76,0.1642,
308,2,0,4,12,0,2,1,2,0.34,0.303,0.71,0.3881,
309,2,0,6,21,0,0,0,1,0.64,0.6061,0.73,0.1642,
310,2,1,5,2,0,1,1,1,0.6,0.6061,0.6,0.2985,
311,4,1,10,16,0,2,1,1,0.54,0.5152,0.39,0.2836,
312,1,1,1,6,0,0,0,1,0.26,0.2727,0.93,0.1343,
313,4,1,10,6,0,0,0,2,0.5,0.4848,0.59,0.3284,
314,3,1,9,12,0,2,1,3,0.68,0.6364,0.83,0.4478,
315,4,0,10,11,0,5,1,3,0.52,0.5,0.88,0.1642,
316,2,1,4,15,0,5,1,1,0.5,0.4848,0.27,0.2836,
317,3,0,7,12,0,3,1,1,0.82,0.803,0.59,0,
318,3,0,8,4,0,2,1,1,0.54,0.5152,0.56,0.1642,
319,1,0,2,10,0,1,1,1,0.44,0.4394,0.33,0.2239,
320,1,1,1,13,0,3,1,2,0.14,0.1212,0.43,0.2537,
321,3,0,7,15,0,4,1,1,0.86,0.8182,0.5,0.194,
322,2,0,4,8,0,6,0,2,0.32,0.303,0.93,0.1642,
323,2,1,3,23,0,4,1,1,0.56,0.5303,0.83,0.0896,
324,3,0,8,13,0,3,1,1,0.8,0.7121,0.41,0.194,
325,2,0,4,4,0,2,1,3,0.5,0.4848,0.88,0.4925,
326,3,0,8,19,0,0,0,1,0.72,0.6818,0.7,0.2537,
327,1,1,12,8,0,0,0,1,0.14,0.1667,0.69,0.1045,
328,2,0,5,20,0,1,1,2,0.62,0.6061,0.69,0.1343,
329,1,0,3,19,0,1,1,1,0.3,0.2879,0.33,0.2239,
330,2,1,6,0,0,0,0,1,0.56,0.5303,0.56,0.1343,
331,4,1,10,11,0,2,1,3,0.58,0.5455,0.94,0.1343,
332,2,1,4,5,0,6,0,1,0.5,0.4848,0.82,0.2537,
333,2,0,4,13,0,4,1,1,0.48,0.4697,0.33,0.3284,
334,2,0,4,3,1,5,0,1,0.4,0.4091,0.76,0,
335,2,0,6,23,0,4,1,1,0.62,0.6212,0.35,0.2239,
336,2,0,4,6,0,1,1,1,0.42,0.4242,0.58,0.2836,
337,3,1,7,1,0,2,1,1,0.66,0.6061,0.83,0.1343,
338,4,1,11,2,0,6,0,1,0.32,0.3485,0.81,0,
339,4,0,11,11,0,6,0,1,0.36,0.3788,0.4,0,
340,1,0,2,4,0,6,0,1,0.4,0.4091,0.15,0.3284,
341,4,1,11,21,0,2,1,2,0.3,0.2879,0.56,0.2537,
342,3,1,9,7,0,6,0,1,0.58,0.5455,0.78,0.2537,
343,4,1,9,13,0,0,0,1,0.62,0.6212,0.41,0.2537,
344,1,1,1,0,0,1,1,2,0.32,0.2879,0.26,0.4179,
345,1,0,2,12,0,0,0,1,0.36,0.3182,0.32,0.4627,
346,4,0,10,3,1,1,0,1,0.46,0.4545,0.88,0,
347,4,1,10,0,0,3,1,2,0.46,0.4545,0.88,0.0896,
348,3,0,8,11,0,6,0,1,0.78,0.7424,0.62,0.2239,
349,2,1,5,8,0,5,1,2,0.64,0.5758,0.89,0.1045,
350,3,1,7,23,0,4,1,3,0.66,0.5909,0.89,0.2239,
351,2,1,5,19,0,1,1,1,0.66,0.6212,0.69,0.0896,
352,3,1,6,3,0,2,1,1,0.54,0.5152,0.45,0.2836,
353,2,1,5,12,0,0,0,2,0.6,0.6061,0.64,0.0896,
354,2,0,4,1,0,1,1,1,0.4,0.4091,0.56,0.3582,
355,3,1,7,16,0,1,1,1,0.84,0.7424,0.36,0.2836,
356,3,1,8,9,0,2,1,2,0.7,0.6667,0.74,0.1343,
357,4,1,9,9,0,0,0,1,0.52,0.5,0.63,0.1045,
358,2,0,4,18,0,2,1,1,0.68,0.6364,0.65,0.4478,
359,2,1,4,16,0,3,1,1,0.44,0.4394,0.33,0.2985,
360,3,0,7,0,0,3,1,2,0.78,0.7121,0.52,0.1642,
361,4,0,12,17,0,2,1,1,0.4,0.4091,0.62,0.1642,
362,2,1,3,7,0,1,1,1,0.44,0.4394,0.72,0.194,
363,4,1,11,7,0,1,1,2,0.3,0.2879,0.49,0.2537,
364,4,0,11,11,0,3,1,1,0.46,0.4545,0.67,0.1642,
365,2,0,6,8,0,6,0,1,0.66,0.6061,0.78,0.0896,
366,3,1,7,15,0,6,0,3,0.6,0.5455,0.88,0.2537,
367,4,1,9,11,0,0,0,1,0.6,0.6212,0.43,0.2239,
368,3,0,7,21,0,0,0,1,0.78,0.7424,0.59,0.2985,
369,4,0,11,12,0,0,0,1,0.44,0.4394,0.54,0,
370,4,0,11,15,0,2,1,1,0.5,0.4848,0.45,0.1343,
371,3,0,7,9,0,3,1,1,0.74,0.697,0.7,0.0896,
372,4,0,12,23,0,2,1,1,0.26,0.303,0.7,0,
373,2,1,5,15,0,2,1,1,0.7,0.6515,0.61,0.0896,
374,2,1,6,19,0,0,0,1,0.82,0.7121,0.28,0.2836,
375,4,0,11,10,0,6,0,1,0.32,0.303,0.45,0.2537,
376,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,
377,3,0,9,21,0,5,1,1,0.66,0.5909,0.89,0,
378,2,1,4,10,0,6,0,1,0.42,0.4242,0.28,0.2537,
379,1,1,2,10,0,5,1,2,0.26,0.2727,0.48,0.1343,
380,4,1,10,3,0,2,1,2,0.54,0.5152,0.88,0.194,
